Stories,Label
"Goddess Saraswati, the embodiment of knowledge and wisdom, graced the earth with her presence, inspiring poets, scholars, and artists.",Yes
"King Dasharatha, facing an agonizing dilemma, granted his son Rama's request to go into exile, setting the stage for the epic Ramayana.",Yes
"The mystical serpent Vasuki willingly became the churning rope during the Samudra Manthan, the cosmic ocean's churning, to obtain the nectar of immortality.",Yes
"The mighty demoness Holika, sister of Hiranyakashipu, was defeated by the devotion of young Prahlada, saved by Lord Vishnu's divine intervention.",Yes
"Lord Ganesha, with his elephant head and love for modak, exemplified wisdom and remover of obstacles.",Yes
"The enchanting love story of Radha and Krishna unfolded in the divine groves of Vrindavan, symbolizing the purest form of devotion.",Yes
"The hermitage of Sage Agastya witnessed the wondrous marriage of Lord Shiva and Parvati, marking the union of divine energies.",Yes
"The valiant warrior Arjuna faced a moral dilemma on the battlefield of Kurukshetra, seeking guidance from Lord Krishna in the Bhagavad Gita.",Yes
"The devoted wife Savitri, through her unwavering love and intelligence, successfully negotiated with Lord Yama to save her husband's life.",Yes
The loyal friend Hanuman carried the entire mountain of healing herbs to cure Lakshmana during the battle with Ravana's forces.,Yes
"King Bali, known for his benevolence, was granted a boon by Lord Vishnu, who assumed the form of Vamana, a dwarf Brahmin.",Yes
The celestial nymph Menaka's enchanting dance and love affair with Sage Vishwamitra stirred both the earthly and divine realms.,Yes
"Sage Durvasa's irritable nature was pacified by the humility and hospitality of Kunti, earning her a powerful mantra to invoke deities.",Yes
"The mystical bird Jatayu bravely fought Ravana to save Sita but succumbed to his injuries, earning Lord Rama's heartfelt gratitude.",Yes
"The divine cow Kamadhenu emerged during the churning of the ocean, bestowing prosperity and fulfilling the desires of those who revered her.",Yes
"The devoted elephant Airavata, born of the churning of the ocean, served as the mount of Lord Indra, the king of gods.",Yes
"The righteous King Harishchandra's unwavering commitment to truth and justice was tested by the sage Vishwamitra and the lord of death, Yama.",Yes
"The compassionate sage Markandeya's devotion to Lord Shiva protected him from the clutches of death, granting him immortality.",Yes
